tiempo radio velocidad aceleracion temperatura pg nH2 nH nO nO2 nOH nH2O nN nNH nNH2 nNH3 nN2H nNO nNO2 nN2O nHNO nN2 nArnH2O2 nHO2 
4.29048923712e-005 0.000122107417363 -44.7139356063 -24124055.0788 1154.24406361 27842.3932367 975846202861 6.63518617044e-005 9.78902942854e-008 487929323382 2.63366638771e-005 1.18611190104e+013 0 0 0 0 0 0 0 0 0 0 0 3.00129826604e-019 3.55948345112e-027 
4.30986509733e-005 0.000112936058917 -50.2328478457 -32692574.9042 1211.14167068 31861.1714638 975843476295 0.000487177711558 9.86514467141e-007 487928347441 0.000202139871612 1.00334029209e+013 0 0 0 0 0 0 0 0 0 0 0 9.98293980189e-018 2.64679148691e-025 
4.325284983e-005 0.000104756374587 -56.146795258 -43779939.7616 1273.70883282 36774.6740347 975840938071 0.00356293861218 9.68947548369e-006 487927434295 0.00155218787033 8.60656516941e+012 0 0 0 0 0 0 0 0 0 0 0 3.29983441685e-016 1.90763044685e-023 
4.33760102169e-005 9.74724593894e-005 -62.4278874778 -57870860.7788 1342.4994756 42717.2016586 975838589019 0.0260742997016 9.42375137492e-005 487926584726 0.0119535675669 7.47659672263e+012 0 0 0 0 0 0 0 0 0 0 0 1.09628582019e-014 1.36749671171e-021 
4.34757285946e-005 9.09289184264e-005 -69.1103885849 -75663105.632 1418.39885095 49905.6821567 975836403820 0.191340023012 0.000915880011283 487925790082 0.0922980605868 6.56178388388e+012 0 0 0 0 0 0 0 0 0 0 0 3.67508075781e-013 9.87114448827e-020 
4.35577488572e-005 8.49797354021e-005 -76.2652497114 -98128989.5446 1502.59787905 58655.0004508 975834352523 1.40827561629 0.00892478622448 487925039900 0.713523369985 5.80433849561e+012 0 0 0 0 0 0 0 0 0 0 0 1.24280884461e-011 7.20062280327e-018 
4.36262038814e-005 7.95058799276e-005 -83.9878022225 -126599771.104 1596.5938804 69403.8590151 975832408137 10.3841704039 0.0871523244497 487924324629 5.5121611433 5.16441637188e+012 0 0 0 0 0 0 0 0 0 0 0 4.22836804798e-010 5.30207007775e-016 
4.36840572823e-005 7.44138928894e-005 -92.3958777667 -162899463.86 1702.24344216 82760.5112848 975830547987 76.5489061029 0.850150465617 487923636149 42.4700999493 4.61429130033e+012 0 0 0 0 0 0 0 0 0 0 0 1.44064145731e-008 3.92538642393e-014 
4.37334549654e-005 6.96311974674e-005 -101.632066771 -209545583.12 1821.8372263 99573.7212249 975828753447 562.274314946 8.23446266255 487922967703 325.66471569 4.13432920353e+012 0 0 0 0 0 0 0 0 0 0 0 4.87449732932e-007 2.89941396804e-012 
4.37758700905e-005 6.51130933788e-005 -111.840467764 -269888074.92 1957.81946702 120978.329283 975827013422 4074.23941666 77.9766742617 487922315354 2466.19943333 3.71139716134e+012 0 0 0 0 0 0 0 0 0 0 0 1.59716682664e-005 2.0815011338e-010 
4.38117715004e-005 6.09066541085e-005 -122.956478069 -346911633.527 2109.86159318 147944.360841 975825348676 27726.592889 678.543983607 487921687817 17604.7234516 3.34254108695e+012 0 0 0 0 0 0 0 0 0 0 0 0.000456333245463 1.28849347984e-008 
4.38403427153e-005 5.72389799521e-005 -134.217550614 -438044812.632 2267.57616514 179487.701006 975823841151 154811.402352 4631.70764622 487921119524 103454.021765 3.03930473528e+012 0 0 0 0 0 0 0 0 0 0 0 0.0087359517193 5.0232756733e-007 
4.38618345926e-005 5.4245195537e-005 -144.728604276 -535622782.058 2417.72014653 213084.377974 975822503307 646343.822021 22353.5477738 487920621211 454729.933898 2.80376782671e+012 0 0 0 0 0 0 0 0 0 0 0 0.0944214629853 9.97517385767e-006 
4.38781265297e-005 5.18114224544e-005 -154.312530547 -635591278.947 2556.78837861 247475.238962 975821170166 2090421.25192 79745.6211576 487920131264 1545899.83317 2.61988343594e+012 0 0 0 0 0 0 0 0 0 0 0 0.622836843477 0.000109740649061 
4.38901673649e-005 4.9904776065e-005 -162.574099863 -730687356.733 2678.15028042 280182.594776 975819650862 5269565.5112 213518.165671 487919558794 4074533.41629 2.48040400377e+012 0 0 0 0 0 0 0 0 0 0 0 2.62719006771 0.000696375657577 
4.38993748449e-005 4.83755128885e-005 -169.740608761 -819811674.374 2784.42293651 310975.718651 975817653148 11083624.7209 465435.673438 487918751046 8912718.93971 2.37136124783e+012 0 0 0 0 0 0 0 0 0 0 0 8.13896087803 0.00300249074228 
4.39067393243e-005 4.71023801369e-005 -176.112448871 -904379962.825 2879.61346699 340329.580105 975814825254 20596179.8385 882468.019842 487917508387 17148665.7587 2.28246478017e+012 0 0 0 0 0 0 0 0 0 0 0 20.571849035 0.0100092059323 
4.39128224228e-005 4.6013780266e-005 -181.879100863 -985344405.034 2966.27885189 368560.856635 975810768273 34987931.1579 1513759.5747 487915587908 30052551.1355 2.20778676381e+012 0 0 0 0 0 0 0 0 0 0 0 45.0632206409 0.0278211591366 
4.39179705355e-005 4.50640026216e-005 -187.168631452 -1063388467.01 3046.16302272 395895.112997 975805022867 55541737.7887 2409333.10897 487912698248 49062829.5078 2.14362015108e+012 0 0 0 0 0 0 0 0 0 0 0 88.8087922435 0.0676053400469 
4.39224107118e-005 4.42221793265e-005 -192.071868923 -1139022828.36 3120.51123104 422499.737244 975797060803 83631766.115 3619339.15992 487908496539 75774372.0754 2.08750511335e+012 0 0 0 0 0 0 0 0 0 0 0 161.383367474 0.148208263377 
4.39262989154e-005 4.3466546083e-005 -196.655642528 -1212640386.46 3190.2441218 448502.689085 975786278650 120715272.835 5193666.01378 487902586264 111928073.149 2.03773323198e+012 0 0 0 0 0 0 0 0 0 0 0 275.047052529 0.299593135085 
4.39297463786e-005 4.27812162931e-005 -200.970603295 -1284550730.13 3256.06163651 474004.162333 975771992565 168326235.911 7181794.21998 487894515574 159401711.391 1.99307378574e+012 0 0 0 0 0 0 0 0 0 0 0 445.036760554 0.567271705253 
4.39328349159e-005 4.2154257914e-005 -205.056098849 -1355002872.7 3318.5083709 499084.228035 975753433672 228070349.483 9632824.44484 487883775824 220201897.389 1.95261313037e+012 0 0 0 0 0 0 0 0 0 0 0 689.842913568 1.01794440212 
4.39356262771e-005 4.1576491829e-005 -208.94334157 -1424200772.52 3378.01638783 523808.02765 975729743794 301621062.571 12595636.0382 487869800199 296456964.929 1.91565572286e+012 0 0 0 0 0 0 0 0 0 0 0 1031.47124395 1.74660657999 
4.3938168099e-005 4.10407112798e-005 -212.657539594 -1492314223.21 3434.93421316 548229.403434 975699971362 390716440.437 16119151.5656 487851962363 390410686.002 1.8816606151e+012 0 0 0 0 0 0 0 0 0 0 0 1495.68955137 2.88542797601 
4.39404978294e-005 4.0541157855e-005 -216.219372567 -1559486673.98 3489.54703842 572393.497935 975663067424 497156690.404 20252693.6593 487829575084 504416709.227 1.85019928904e+012 0 0 0 0 0 0 0 0 0 0 0 2112.25921207 4.61476660054 
4.39426453901e-005 4.00731596179e-005 -219.646039703 -1625840960.77 3542.09114619 596338.654683 975617881677 622802235.63 25046427.4651 487801888790 640933638.402 1.82092682829e+012 0 0 0 0 0 0 0 0 0 0 0 2915.15117969 7.17673727074 
4.39446350341e-005 3.96328749814e-005 -222.95202066 -1691483582.92 3592.76443454 620097.833999 975563158476 769572248.844 30551886.3425 487768090051 802520682.533 1.79356169958e+012 0 0 0 0 0 0 0 0 0 0 0 3942.74617054 10.891818967 
4.39464866687e-005 3.92171074703e-005 -226.14963875 -1756507946.72 3641.73424248 643699.685288 975497532785 939443577.133 36822581.2773 487727299943 991833820.158 1.76787125276e+012 0 0 0 0 0 0 0 0 0 0 0 5238.01868694 16.1790543828 
4.39482168186e-005 3.88231691677e-005 -229.249485123 -1820996862.17 3689.1432683 667169.371549 975419526043 1134450003.57 43914696.382 487678572301 1211622431.83 1.74366111492e+012 0 0 0 0 0 0 0 0 0 0 0 6848.70451762 23.5804698875 
4.3949839339e-005 3.84487783214e-005 -232.260743204 -1885024490.76 3735.11411395 690529.21206 975327541932 1356681800.11 51887874.1344 487620891834 1464726361.84 1.72076729559e+012 0 0 0 0 0 0 0 0 0 0 0 8827.45134055 33.790425085 
4.3951365952e-005 3.8091981384e-005 -235.191440327 -1948657883.8 3779.75282242 713799.189704 975219862020 1608285533.74 60806095.0062 487553172100 1754073377.91 1.69905021704e+012 0 0 0 0 0 0 0 0 0 0 0 11231.9520665 47.6906889805 
4.39528066563e-005 3.77510928333e-005 -238.048645379 -2011958211.45 3823.15166584 736997.356094 975094641281 1891464092.07 70738656.8994 487474253329 2082677002.76 1.67839013606e+012 0 0 0 0 0 0 0 0 0 0 0 14125.0605799 66.3921352254 
4.39541700437e-005 3.74246481358e-005 -240.838625825 -2074981754.96 3865.39136769 760140.15861 974949903486 2208476897.84 81761260.487 487382900082 2453634696.42 1.65868358775e+012 0 0 0 0 0 0 0 0 0 0 0 17574.8895682 91.2840530209 
4.39554635479e-005 3.71113665618e-005 -243.566973782 -2137780715.91 3906.54289253 783242.707065 974783536461 2561640283.39 93957207.1772 487277798750 2870126371.43 1.63984059092e+012 0 0 0 0 0 0 0 0 0 0 0 21654.8901744 124.092184156 
4.39566936397e-005 3.68101214848e-005 -246.238708225 -2200403882.31 3946.66890088 806318.9932 974593287221 2953327996.5 107418717.024 487157554882 3335413225.73 1.6217824286e+012 0 0 0 0 0 0 0 0 0 0 0 26443.9132547 166.94672165 
4.39578659844e-005 3.65199164281e-005 -248.858358569 -2262897181.99 3985.82494245 829382.073049 974376756988 3385971810.24 122248374.585 487020690338 3852836881.67 1.60443986821e+012 0 0 0 0 0 0 0 0 0 0 0 32026.2520987 222.461643264 
4.39589855681e-005 3.62398655805e-005 -251.430033607 -2325304146.4 4024.06044244 852444.219762 974131396111 3862062207.53 138560711.363 486865640272 4425818819.95 1.58775172137e+012 0 0 0 0 0 0 0 0 0 0 0 38491.6665274 293.82690527 
